Year,Function,Opponent,p_value,Symbol
2017,F9,WOA,0.04720176769014221,+
2017,F9,GWO,0.6015081344405899,=
2017,F9,SCA,0.009023438818080326,+
2017,F9,SSA,0.34720763934942456,=
2017,F9,HHO,0.34720763934942456,=
2017,F9,MPA,0.009023438818080326,+
2017,F9,AOA,0.7540225300620748,=
2020,F1,SBOA,0.9168149485280885,=
2020,F1,WOA,0.009023438818080326,+
2020,F1,GWO,0.009023438818080326,+
2020,F1,SCA,0.009023438818080326,+
2020,F1,SSA,0.9168149485280885,=
2020,F1,HHO,0.009023438818080326,+
2020,F1,MPA,0.009023438818080326,+
2020,F1,AOA,0.009023438818080326,+
2020,F10,SBOA,0.9168149485280885,=
2020,F10,WOA,0.009023438818080326,+
2020,F10,GWO,0.7540225300620748,=
2020,F10,SCA,0.009023438818080326,+
2020,F10,SSA,0.6015081344405899,=
2020,F10,HHO,0.016293603621028527,+
2020,F10,MPA,0.9168149485280885,=
2020,F10,AOA,0.016293603621028527,+
2020,F2,SBOA,0.6015081344405899,=
2020,F2,WOA,0.028280122568276955,+
2020,F2,GWO,0.028280122568276955,+
2020,F2,SCA,0.009023438818080326,+
2020,F2,SSA,0.07580017458236125,=
2020,F2,HHO,0.028280122568276955,+
2020,F2,MPA,0.009023438818080326,+
2020,F2,AOA,0.9168149485280885,=
2020,F3,SBOA,0.028280122568276955,-
2020,F3,WOA,0.009023438818080326,+
2020,F3,GWO,0.25059205068568424,=
2020,F3,SCA,0.009023438818080326,+
2020,F3,SSA,0.34720763934942456,=
2020,F3,HHO,0.009023438818080326,+
2020,F3,MPA,0.009023438818080326,+
2020,F3,AOA,0.04720176769014221,+
2020,F4,SBOA,0.9168149485280885,=
2020,F4,WOA,0.009023438818080326,+
2020,F4,GWO,0.17452534056858338,=
2020,F4,SCA,0.009023438818080326,+
2020,F4,SSA,0.6015081344405899,=
2020,F4,HHO,0.009023438818080326,+
2020,F4,MPA,0.016293603621028527,+
2020,F4,AOA,0.009023438818080326,+
2020,F5,SBOA,0.009023438818080326,+
2020,F5,WOA,0.009023438818080326,+
2020,F5,GWO,0.009023438818080326,+
2020,F5,SCA,0.009023438818080326,+
2020,F5,SSA,0.009023438818080326,+
2020,F5,HHO,0.009023438818080326,+
2020,F5,MPA,0.11718508719813801,=
2020,F5,AOA,0.009023438818080326,+
2020,F6,SBOA,0.07580017458236125,=
2020,F6,WOA,0.009023438818080326,+
2020,F6,GWO,0.009023438818080326,+
2020,F6,SCA,0.009023438818080326,+
2020,F6,SSA,0.009023438818080326,+
2020,F6,HHO,0.009023438818080326,+
2020,F6,MPA,0.34720763934942456,=
2020,F6,AOA,0.009023438818080326,+
2020,F7,SBOA,0.009023438818080326,+
2020,F7,WOA,0.009023438818080326,+
2020,F7,GWO,0.009023438818080326,+
2020,F7,SCA,0.009023438818080326,+
2020,F7,SSA,0.009023438818080326,+
2020,F7,HHO,0.009023438818080326,+
2020,F7,MPA,0.07580017458236125,=
2020,F7,AOA,0.009023438818080326,+
2020,F8,SBOA,0.9168149485280885,=
2020,F8,WOA,0.6015081344405899,=
2020,F8,GWO,0.009023438818080326,+
2020,F8,SCA,0.009023438818080326,-
2020,F8,SSA,0.7540225300620748,=
2020,F8,HHO,0.009023438818080326,+
2020,F8,MPA,0.11718508719813801,=
2020,F8,AOA,0.009023438818080326,-
2020,F9,SBOA,0.11718508719813801,=
2020,F9,WOA,0.009023438818080326,+
2020,F9,GWO,0.009023438818080326,+
2020,F9,SCA,0.009023438818080326,+
2020,F9,SSA,0.11718508719813801,=
2020,F9,HHO,0.009023438818080326,+
2020,F9,MPA,0.07580017458236125,=
2020,F9,AOA,0.009023438818080326,+
2022,F1,SBOA,0.009023438818080326,-
2022,F1,WOA,0.009023438818080326,+
2022,F1,GWO,0.009023438818080326,+
2022,F1,SCA,0.009023438818080326,+
2022,F1,SSA,0.009023438818080326,-
2022,F1,HHO,0.009023438818080326,+
2022,F1,MPA,0.009023438818080326,+
2022,F1,AOA,0.009023438818080326,+
2022,F10,SBOA,0.04720176769014221,-
2022,F10,WOA,0.34720763934942456,=
2022,F10,GWO,0.17452534056858338,=
2022,F10,SCA,0.009023438818080326,-
2022,F10,SSA,0.009023438818080326,-
2022,F10,HHO,0.9168149485280885,=
2022,F10,MPA,0.009023438818080326,-
2022,F10,AOA,0.009023438818080326,-
2022,F11,SBOA,0.009023438818080326,-
2022,F11,WOA,0.009023438818080326,+
2022,F11,GWO,0.009023438818080326,+
2022,F11,SCA,0.009023438818080326,+
2022,F11,SSA,0.6015081344405899,=
2022,F11,HHO,0.009023438818080326,+
2022,F11,MPA,0.009023438818080326,+
2022,F11,AOA,0.009023438818080326,+
2022,F12,SBOA,0.34720763934942456,=
2022,F12,WOA,0.009023438818080326,+
2022,F12,GWO,0.11718508719813801,=
2022,F12,SCA,0.009023438818080326,+
2022,F12,SSA,0.34720763934942456,=
